-5359.76 32044.22 7882.16 45156.50 -41396.57 5497.94
-37525.56 9046.11 2285.20 -45759.01 13547.75 -3877.51
48809.73 4712.09 -28657.86 4186.49 26991.17 -33937.56
35847.36 -19489.78 -46732.41 44807.97 2227.51 28611.97
17536.95 -11874.42 34879.39 20115.12 -25782.91 14412.74
-25174.99 12065.29 38632.39 -24738.82 10070.50 5461.94
2826.41 31030.41 -49118.44 -8117.92 -663.13 -10310.14
-17026.80 -26932.50 36708.01 -14727.16 -4213.24 -17628.74
-37314.59 -19082.11 44699.76 9255.24 47356.71 42327.08
-31513.93 -42086.16 7528.37 -37180.21 42854.73 -15216.50
24181.62 -24274.45 -38710.90 7703.94 50000.00 -21467.54
28900.79 -4858.60 -10411.14 -2603.97 -45750.41 29606.14
4784.18 -14019.69 10035.77 27520.86 -45943.02 -5479.79
42028.62 -43234.30 38780.88 44705.43 46298.27 -50000.00
-44582.91 -24266.34 12648.62 22019.14 46132.31 32786.26
14886.52 -40684.39 45874.54 -27702.81 -34544.17 10209.59
-14560.45 -32415.26 -48275.62 -44047.97 -9204.15 -42843.38
19757.83 38453.86 14973.04 -48569.43 -19805.01 9011.98
959.76 12741.75 -3900.80 -6224.58 12693.36 -31677.13
-5032.37 -41657.39 40295.01 17074.90 -6231.20 -15739.75
